Position,Group,Contraction_um,Recovery_um,RecoveredFraction,l0_um,NaNFraction
1,D1-low Actv,-0.87223016621257,0.724126374954009,0.830201021478467,NaN,0
2,D1-low Actv,0.385618717016098,-0.453917976168502,1.17711603752251,NaN,0
3,D1-low Actv,-1.76061924737473,0.370419890653998,0.210391821631129,NaN,0
4,D1-low Actv,-3.01272690403926,2.68187652189683,0.890182418559461,NaN,0
5,D1-low Actv,-4.36211847578466,0.129315950288408,0.0296452173425085,149.754755716867,0
6,D1-low Actv,-4.62643816960896,0.970473742310441,0.209766932299123,NaN,0
7,D1-low Actv,-4.9962078763915,0.934850972100309,0.187112104866121,186.3855775179,0
8,D1-low Actv,-4.34652440551018,0.877049834344993,0.20178187271493,389.901114185,0
9,D1-low Actv,-4.45898119249866,0.501603664371695,0.112492886315722,NaN,0
10,D1-low Actv,-6.89058119125533,1.32646861446379,0.192504605583515,147.499786424904,0
11,D1-low Actv,-3.13102430662079,0.153192297752756,0.0489272144674248,NaN,0
12,D1-low Actv,-11.1297629331461,1.86370260728481,0.167452138781359,127.789145989968,0
13,D1-low Ctrl,3.97834474457862,0.995561124961808,-0.250245061421206,NaN,0
14,D1-low Ctrl,0.978950164588507,0.850646106508616,-0.868937089219632,NaN,0
15,D1-low Ctrl,2.54669833273747,0.208333425915145,-0.0818053018832449,NaN,0
16,D1-low Ctrl,0.71257156384967,0.239153404347951,-0.335620190982537,NaN,0
17,D1-low Ctrl,-2.39982695601177,-1.10378572144822,-0.459943879988158,NaN,0
18,D1-low Ctrl,2.34720690308936,1.09810258392992,-0.46783373995902,NaN,0
19,D1-low Ctrl,0.813205947152878,0.011723499766838,-0.0144163969876059,NaN,0
20,D1-low Ctrl,-2.99240863566369,1.03240529136389,0.345008124578851,NaN,0
21,D1-low Ctrl,1.18224924250771,0.498292886780082,-0.42147871097226,NaN,0
22,D1-low Ctrl,-1.43092945116374,-0.155881039402307,-0.108936914587601,NaN,0
23,D1-low Ctrl,1.61667681504195,0.50387248686596,-0.311671746744809,NaN,0
24,D1-low Ctrl,7.95081893932741,-1.08290882658903,0.136200916515983,110.323309320503,0
